city,keep_frac,seed,station,MAE,RMSE,R2
madrid,0.0,777,__aggregate__,3.6020188331604004,5.481596587999198,0.7438184022903442
london,1.0,42,BL0,2.230088710784912,3.274436634326094,-0.451399564743042
london,1.0,42,BT4,3.007108449935913,4.354896788397821,0.4693566560745239
london,1.0,42,CT3,2.314112663269043,2.881133296034573,-1.153228521347046
london,1.0,42,GN0,2.0298643112182617,2.7769265163261334,-0.1957666873931884
london,1.0,42,KC1,1.8266925811767576,2.589914542448982,0.7113474607467651
london,1.0,42,LH0,1.25047767162323,1.8834733238629875,0.5604754686355591
london,1.0,42,RB7,2.5384538173675537,3.318153307591538,0.5244415998458862
london,1.0,42,TH4,2.869363784790039,4.9876841499158,0.4821115136146545
london,1.0,42,__aggregate__,2.258270263671875,3.3882437927554014,0.4854353070259094
london,0.75,42,BL0,1.5457106828689575,2.3209037669627124,0.270831286907196
london,0.75,42,BT4,2.834594488143921,3.867528911894309,0.5814819931983948
london,0.75,42,CT3,2.525733709335327,2.9023276491604206,-1.1850242614746094
london,0.75,42,GN0,2.2302653789520264,2.9521083797522105,-0.351394772529602
